Fecha,Precio
20/2/2019,"57,51"
19/2/2019,"58,89"
18/2/2019,"56,27"
17/2/2019,"47,04"
16/2/2019,"51,19"
15/2/2019,"55,29"
14/2/2019,"56,38"
13/2/2019,"61,51"
12/2/2019,"60,56"
11/2/2019,"56,25"
10/2/2019,"37,70"
9/2/2019,"54,36"
8/2/2019,"56,47"
7/2/2019,"58,09"
6/2/2019,"61,26"
5/2/2019,"60,41"
4/2/2019,"58,95"
3/2/2019,"48,40"
2/2/2019,"37,96"
1/2/2019,"52,68"
31/1/2019,"54,88"
30/1/2019,"57,98"
29/1/2019,"59,54"
28/1/2019,"55,71"
27/1/2019,"43,98"
26/1/2019,"61,50"
25/1/2019,"61,99"
24/1/2019,"61,04"
23/1/2019,"60,32"
22/1/2019,"64,55"
21/1/2019,"65,60"
20/1/2019,"61,75"
19/1/2019,"64,75"
18/1/2019,"67,98"
17/1/2019,"65,60"
16/1/2019,"69,43"
15/1/2019,"67,02"
14/1/2019,"63,34"
13/1/2019,"60,14"
12/1/2019,"62,45"
11/1/2019,"63,89"
10/1/2019,"62,40"
9/1/2019,"60,61"
8/1/2019,"62,53"
7/1/2019,"63,32"
6/1/2019,"59,12"
5/1/2019,"65,33"
4/1/2019,"66,84"
3/1/2019,"64,01"
2/1/2019,"60,54"
1/1/2019,"63,45"
31/12/2018,"61,80"
30/12/2018,"58,49"
29/12/2018,"57,05"
28/12/2018,"63,79"
27/12/2018,"67,63"
26/12/2018,"62,99"
25/12/2018,"62,47"
24/12/2018,"64,09"
23/12/2018,"62,99"
22/12/2018,"62,49"
21/12/2018,"60,56"
20/12/2018,"63,40"
19/12/2018,"60,29"
18/12/2018,"61,81"
17/12/2018,"64,09"
16/12/2018,"56,51"
15/12/2018,"60,04"
14/12/2018,"61,81"
13/12/2018,"60,55"
12/12/2018,"64,51"
11/12/2018,"65,21"
10/12/2018,"62,44"
9/12/2018,"59,56"
8/12/2018,"59,99"
7/12/2018,"61,58"
6/12/2018,"61,09"
5/12/2018,"63,42"
4/12/2018,"66,54"
3/12/2018,"61,78"
2/12/2018,"56,27"
1/12/2018,"60,81"
30/11/2018,"62,66"
29/11/2018,"61,89"
28/11/2018,"62,46"
27/11/2018,"64,69"
26/11/2018,"58,60"
25/11/2018,"58,94"
24/11/2018,"62,23"
23/11/2018,"67,08"
22/11/2018,"65,89"
21/11/2018,"64,59"
20/11/2018,"63,79"
19/11/2018,"68,49"
18/11/2018,"57,35"
17/11/2018,"61,07"
16/11/2018,"64,55"
15/11/2018,"64,49"
14/11/2018,"62,66"
13/11/2018,"65,23"
12/11/2018,"64,01"
11/11/2018,"53,92"
10/11/2018,"51,71"
9/11/2018,"59,18"
8/11/2018,"62,62"
7/11/2018,"59,90"
6/11/2018,"59,15"
5/11/2018,"60,69"
4/11/2018,"59,80"
3/11/2018,"63,77"
2/11/2018,"63,80"
1/11/2018,"63,92"
31/10/2018,"68,50"
30/10/2018,"65,40"
29/10/2018,"59,96"
28/10/2018,"54,43"
27/10/2018,"60,69"
26/10/2018,"71,05"
25/10/2018,"70,65"
24/10/2018,"66,06"
23/10/2018,"62,68"
22/10/2018,"63,19"
21/10/2018,"60,66"
20/10/2018,"59,63"
19/10/2018,"62,59"
18/10/2018,"65,37"
17/10/2018,"72,08"
16/10/2018,"73,35"
15/10/2018,"61,39"
14/10/2018,"53,35"
13/10/2018,"61,57"
12/10/2018,"61,66"
11/10/2018,"64,87"
10/10/2018,"67,33"
